RANK	DOCUMENT	PRECISION	RECALL
1	CACM-2826	0.0	0.0
2	CACM-242	0.0	0.0
3	CACM-2671	0.0	0.0
4	CACM-1634	0.0	0.0
5	CACM-2230	0.0	0.0
6	CACM-1009	0.0	0.0
7	CACM-2828	0.14285714285714285	0.3333333333333333
8	CACM-530	0.125	0.3333333333333333
9	CACM-3198	0.1111111111111111	0.3333333333333333
10	CACM-3185	0.1	0.3333333333333333
11	CACM-2417	0.09090909090909091	0.3333333333333333
12	CACM-2078	0.16666666666666666	0.6666666666666666
13	CACM-2753	0.15384615384615385	0.6666666666666666
14	CACM-705	0.14285714285714285	0.6666666666666666
15	CACM-1341	0.13333333333333333	0.6666666666666666
16	CACM-3188	0.125	0.6666666666666666
17	CACM-2505	0.11764705882352941	0.6666666666666666
18	CACM-888	0.1111111111111111	0.6666666666666666
19	CACM-281	0.10526315789473684	0.6666666666666666
20	CACM-697	0.1	0.6666666666666666
21	CACM-3035	0.09523809523809523	0.6666666666666666
22	CACM-2087	0.09090909090909091	0.6666666666666666
23	CACM-1543	0.13043478260869565	1.0
24	CACM-435	0.125	1.0
25	CACM-1148	0.12	1.0
26	CACM-2389	0.11538461538461539	1.0
27	CACM-695	0.1111111111111111	1.0
28	CACM-768	0.10714285714285714	1.0
29	CACM-704	0.10344827586206896	1.0
30	CACM-2176	0.1	1.0
31	CACM-2873	0.0967741935483871	1.0
32	CACM-2502	0.09375	1.0
33	CACM-887	0.09090909090909091	1.0
34	CACM-2721	0.08823529411764706	1.0
35	CACM-1397	0.08571428571428572	1.0
36	CACM-531	0.08333333333333333	1.0
37	CACM-1186	0.08108108108108109	1.0
38	CACM-2909	0.07894736842105263	1.0
39	CACM-605	0.07692307692307693	1.0
40	CACM-2931	0.075	1.0
41	CACM-3156	0.07317073170731707	1.0
42	CACM-417	0.07142857142857142	1.0
43	CACM-767	0.06976744186046512	1.0
44	CACM-3172	0.06818181818181818	1.0
45	CACM-2707	0.06666666666666667	1.0
46	CACM-492	0.06521739130434782	1.0
47	CACM-3040	0.06382978723404255	1.0
48	CACM-1867	0.0625	1.0
49	CACM-1698	0.061224489795918366	1.0
50	CACM-1014	0.06	1.0
51	CACM-2705	0.058823529411764705	1.0
52	CACM-2187	0.057692307692307696	1.0
53	CACM-2836	0.05660377358490566	1.0
54	CACM-2228	0.05555555555555555	1.0
55	CACM-1368	0.05454545454545454	1.0
56	CACM-1621	0.05357142857142857	1.0
57	CACM-755	0.05263157894736842	1.0
58	CACM-2485	0.05172413793103448	1.0
59	CACM-2399	0.05084745762711865	1.0
60	CACM-1184	0.05	1.0
61	CACM-392	0.04918032786885246	1.0
62	CACM-2231	0.04838709677419355	1.0
63	CACM-1046	0.047619047619047616	1.0
64	CACM-2167	0.046875	1.0
65	CACM-3030	0.046153846153846156	1.0
66	CACM-1365	0.045454545454545456	1.0
67	CACM-1948	0.04477611940298507	1.0
68	CACM-2406	0.04411764705882353	1.0
69	CACM-670	0.043478260869565216	1.0
70	CACM-87	0.04285714285714286	1.0
71	CACM-2068	0.04225352112676056	1.0
72	CACM-1047	0.041666666666666664	1.0
73	CACM-2900	0.0410958904109589	1.0
74	CACM-1262	0.04054054054054054	1.0
75	CACM-1978	0.04	1.0
76	CACM-1234	0.039473684210526314	1.0
77	CACM-3150	0.03896103896103896	1.0
78	CACM-3017	0.038461538461538464	1.0
79	CACM-731	0.0379746835443038	1.0
80	CACM-2769	0.0375	1.0
81	CACM-985	0.037037037037037035	1.0
82	CACM-2774	0.036585365853658534	1.0
83	CACM-463	0.03614457831325301	1.0
84	CACM-1466	0.03571428571428571	1.0
85	CACM-1105	0.03529411764705882	1.0
86	CACM-984	0.03488372093023256	1.0
87	CACM-1461	0.034482758620689655	1.0
88	CACM-119	0.03409090909090909	1.0
89	CACM-2764	0.033707865168539325	1.0
90	CACM-343	0.03333333333333333	1.0
91	CACM-41	0.03296703296703297	1.0
92	CACM-2918	0.03260869565217391	1.0
93	CACM-2503	0.03225806451612903	1.0
94	CACM-269	0.031914893617021274	1.0
95	CACM-141	0.031578947368421054	1.0
96	CACM-109	0.03125	1.0
97	CACM-1005	0.030927835051546393	1.0
98	CACM-866	0.030612244897959183	1.0
99	CACM-1328	0.030303030303030304	1.0
100	CACM-2633	0.03	1.0
