RANK	DOCUMENT	PRECISION	RECALL
1	CACM-1131	0.0	0.0
2	CACM-2811	0.0	0.0
3	CACM-2982	0.0	0.0
4	CACM-1141	0.0	0.0
5	CACM-1024	0.0	0.0
6	CACM-1548	0.0	0.0
7	CACM-2492	0.0	0.0
8	CACM-204	0.0	0.0
9	CACM-2733	0.1111111111111111	0.05
10	CACM-2477	0.1	0.05
11	CACM-2574	0.09090909090909091	0.05
12	CACM-2788	0.08333333333333333	0.05
13	CACM-2603	0.07692307692307693	0.05
14	CACM-2832	0.07142857142857142	0.05
15	CACM-633	0.06666666666666667	0.05
16	CACM-2184	0.0625	0.05
17	CACM-2910	0.058823529411764705	0.05
18	CACM-3045	0.05555555555555555	0.05
19	CACM-2054	0.05263157894736842	0.05
20	CACM-1399	0.05	0.05
21	CACM-1641	0.047619047619047616	0.05
22	CACM-1184	0.045454545454545456	0.05
23	CACM-2215	0.043478260869565216	0.05
24	CACM-367	0.041666666666666664	0.05
25	CACM-1682	0.04	0.05
26	CACM-1552	0.038461538461538464	0.05
27	CACM-2980	0.037037037037037035	0.05
28	CACM-2700	0.03571428571428571	0.05
29	CACM-2816	0.034482758620689655	0.05
30	CACM-940	0.03333333333333333	0.05
31	CACM-1020	0.03225806451612903	0.05
32	CACM-1745	0.03125	0.05
33	CACM-1921	0.030303030303030304	0.05
34	CACM-1837	0.029411764705882353	0.05
35	CACM-2643	0.02857142857142857	0.05
36	CACM-3028	0.027777777777777776	0.05
37	CACM-1642	0.02702702702702703	0.05
38	CACM-1874	0.02631578947368421	0.05
39	CACM-2556	0.02564102564102564	0.05
40	CACM-2231	0.025	0.05
41	CACM-1553	0.024390243902439025	0.05
42	CACM-3058	0.023809523809523808	0.05
43	CACM-2481	0.023255813953488372	0.05
44	CACM-2019	0.022727272727272728	0.05
45	CACM-2740	0.022222222222222223	0.05
46	CACM-2581	0.021739130434782608	0.05
47	CACM-3183	0.02127659574468085	0.05
48	CACM-2211	0.020833333333333332	0.05
49	CACM-2370	0.02040816326530612	0.05
50	CACM-2967	0.02	0.05
51	CACM-2354	0.0196078431372549	0.05
52	CACM-3013	0.019230769230769232	0.05
53	CACM-462	0.018867924528301886	0.05
54	CACM-1359	0.018518518518518517	0.05
55	CACM-1750	0.01818181818181818	0.05
56	CACM-1223	0.017857142857142856	0.05
57	CACM-2795	0.017543859649122806	0.05
58	CACM-2902	0.017241379310344827	0.05
59	CACM-2402	0.01694915254237288	0.05
60	CACM-1735	0.016666666666666666	0.05
61	CACM-1878	0.01639344262295082	0.05
62	CACM-1544	0.016129032258064516	0.05
63	CACM-2911	0.015873015873015872	0.05
64	CACM-2641	0.015625	0.05
65	CACM-1853	0.015384615384615385	0.05
66	CACM-2922	0.015151515151515152	0.05
67	CACM-3199	0.014925373134328358	0.05
68	CACM-3197	0.014705882352941176	0.05
69	CACM-3195	0.014492753623188406	0.05
70	CACM-3190	0.014285714285714285	0.05
71	CACM-3186	0.014084507042253521	0.05
72	CACM-3185	0.013888888888888888	0.05
73	CACM-3180	0.0136986301369863	0.05
74	CACM-3178	0.013513513513513514	0.05
75	CACM-3174	0.013333333333333334	0.05
76	CACM-3173	0.013157894736842105	0.05
77	CACM-3169	0.012987012987012988	0.05
78	CACM-3168	0.01282051282051282	0.05
79	CACM-3161	0.012658227848101266	0.05
80	CACM-3159	0.0125	0.05
81	CACM-3155	0.012345679012345678	0.05
82	CACM-3146	0.012195121951219513	0.05
83	CACM-3128	0.012048192771084338	0.05
84	CACM-3123	0.011904761904761904	0.05
85	CACM-3122	0.011764705882352941	0.05
86	CACM-3119	0.011627906976744186	0.05
87	CACM-3115	0.011494252873563218	0.05
88	CACM-3111	0.011363636363636364	0.05
89	CACM-3090	0.011235955056179775	0.05
90	CACM-3089	0.011111111111111112	0.05
91	CACM-3084	0.01098901098901099	0.05
92	CACM-3083	0.010869565217391304	0.05
93	CACM-3078	0.010752688172043012	0.05
94	CACM-3073	0.010638297872340425	0.05
95	CACM-3070	0.010526315789473684	0.05
96	CACM-3066	0.010416666666666666	0.05
97	CACM-3063	0.010309278350515464	0.05
98	CACM-3062	0.01020408163265306	0.05
99	CACM-3061	0.010101010101010102	0.05
100	CACM-3050	0.01	0.05
