RANK	DOCUMENT	PRECISION	RECALL
1	CACM-1928	0.0	0.0
2	CACM-1341	0.0	0.0
3	CACM-2372	0.3333333333333333	0.1111111111111111
4	CACM-2988	0.25	0.1111111111111111
5	CACM-3068	0.4	0.2222222222222222
6	CACM-2812	0.3333333333333333	0.2222222222222222
7	CACM-1959	0.2857142857142857	0.2222222222222222
8	CACM-2525	0.25	0.2222222222222222
9	CACM-2882	0.2222222222222222	0.2222222222222222
10	CACM-2776	0.2	0.2222222222222222
11	CACM-3011	0.18181818181818182	0.2222222222222222
12	CACM-2949	0.16666666666666666	0.2222222222222222
13	CACM-1636	0.15384615384615385	0.2222222222222222
14	CACM-2578	0.14285714285714285	0.2222222222222222
15	CACM-2951	0.13333333333333333	0.2222222222222222
16	CACM-0637	0.125	0.2222222222222222
17	CACM-2197	0.11764705882352941	0.2222222222222222
18	CACM-3183	0.1111111111111111	0.2222222222222222
19	CACM-0417	0.10526315789473684	0.2222222222222222
20	CACM-1387	0.1	0.2222222222222222
21	CACM-2567	0.09523809523809523	0.2222222222222222
22	CACM-1685	0.09090909090909091	0.2222222222222222
23	CACM-2985	0.08695652173913043	0.2222222222222222
24	CACM-1750	0.08333333333333333	0.2222222222222222
25	CACM-2798	0.08	0.2222222222222222
26	CACM-2321	0.07692307692307693	0.2222222222222222
27	CACM-3028	0.07407407407407407	0.2222222222222222
28	CACM-2407	0.07142857142857142	0.2222222222222222
29	CACM-2308	0.06896551724137931	0.2222222222222222
30	CACM-2621	0.06666666666666667	0.2222222222222222
31	CACM-2893	0.06451612903225806	0.2222222222222222
32	CACM-1196	0.0625	0.2222222222222222
33	CACM-0822	0.06060606060606061	0.2222222222222222
34	CACM-2995	0.058823529411764705	0.2222222222222222
35	CACM-0104	0.05714285714285714	0.2222222222222222
36	CACM-1572	0.05555555555555555	0.2222222222222222
37	CACM-3150	0.05405405405405406	0.2222222222222222
38	CACM-3158	0.07894736842105263	0.3333333333333333
39	CACM-0059	0.07692307692307693	0.3333333333333333
40	CACM-0144	0.075	0.3333333333333333
41	CACM-2888	0.07317073170731707	0.3333333333333333
42	CACM-2345	0.07142857142857142	0.3333333333333333
43	CACM-2298	0.06976744186046512	0.3333333333333333
44	CACM-2198	0.06818181818181818	0.3333333333333333
45	CACM-3082	0.06666666666666667	0.3333333333333333
46	CACM-1164	0.06521739130434782	0.3333333333333333
47	CACM-2165	0.06382978723404255	0.3333333333333333
48	CACM-2969	0.0625	0.3333333333333333
49	CACM-2020	0.061224489795918366	0.3333333333333333
50	CACM-0084	0.06	0.3333333333333333
51	CACM-1267	0.058823529411764705	0.3333333333333333
52	CACM-1908	0.057692307692307696	0.3333333333333333
53	CACM-1489	0.05660377358490566	0.3333333333333333
54	CACM-1808	0.05555555555555555	0.3333333333333333
55	CACM-1591	0.05454545454545454	0.3333333333333333
56	CACM-2311	0.05357142857142857	0.3333333333333333
57	CACM-2522	0.05263157894736842	0.3333333333333333
58	CACM-3090	0.05172413793103448	0.3333333333333333
59	CACM-1723	0.05084745762711865	0.3333333333333333
60	CACM-1261	0.05	0.3333333333333333
61	CACM-3092	0.04918032786885246	0.3333333333333333
62	CACM-1233	0.04838709677419355	0.3333333333333333
63	CACM-0618	0.047619047619047616	0.3333333333333333
64	CACM-1978	0.046875	0.3333333333333333
65	CACM-1247	0.046153846153846156	0.3333333333333333
66	CACM-2950	0.045454545454545456	0.3333333333333333
67	CACM-2262	0.04477611940298507	0.3333333333333333
68	CACM-3072	0.04411764705882353	0.3333333333333333
69	CACM-0855	0.043478260869565216	0.3333333333333333
70	CACM-0086	0.04285714285714286	0.3333333333333333
71	CACM-2151	0.04225352112676056	0.3333333333333333
72	CACM-3026	0.041666666666666664	0.3333333333333333
73	CACM-3025	0.0410958904109589	0.3333333333333333
74	CACM-1677	0.04054054054054054	0.3333333333333333
75	CACM-3157	0.04	0.3333333333333333
76	CACM-0440	0.039473684210526314	0.3333333333333333
77	CACM-3038	0.03896103896103896	0.3333333333333333
78	CACM-3141	0.038461538461538464	0.3333333333333333
79	CACM-2163	0.0379746835443038	0.3333333333333333
80	CACM-3181	0.0375	0.3333333333333333
81	CACM-1461	0.037037037037037035	0.3333333333333333
82	CACM-1748	0.036585365853658534	0.3333333333333333
83	CACM-2111	0.03614457831325301	0.3333333333333333
84	CACM-2314	0.03571428571428571	0.3333333333333333
85	CACM-3032	0.03529411764705882	0.3333333333333333
86	CACM-2583	0.03488372093023256	0.3333333333333333
87	CACM-3043	0.034482758620689655	0.3333333333333333
88	CACM-3089	0.03409090909090909	0.3333333333333333
89	CACM-1476	0.033707865168539325	0.3333333333333333
90	CACM-2371	0.03333333333333333	0.3333333333333333
91	CACM-1071	0.03296703296703297	0.3333333333333333
92	CACM-1473	0.03260869565217391	0.3333333333333333
93	CACM-1910	0.03225806451612903	0.3333333333333333
94	CACM-0605	0.031914893617021274	0.3333333333333333
95	CACM-1890	0.031578947368421054	0.3333333333333333
96	CACM-3119	0.03125	0.3333333333333333
97	CACM-1717	0.030927835051546393	0.3333333333333333
98	CACM-2794	0.030612244897959183	0.3333333333333333
99	CACM-3133	0.030303030303030304	0.3333333333333333
100	CACM-2892	0.03	0.3333333333333333
